"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-01-01 ~ 2025-12-31"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 성동구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"67","서울특별시 성동구 행당동","346","0346","0000","행당한진타운","59.9600","202512","20","164,000","115","22","개인","개인","2000","행당로 82","-","중개거래","서울 성동구","26.02.27"
"68","서울특별시 성동구 행당동","344","0344","0000","신동아","59.9700","202512","19","120,000","6","9","개인","개인","1995","독서당로 441","-","중개거래","서울 성동구","26.02.11"
"69","서울특별시 성동구 하왕십리동","992","0992","0000","무학현대","84.4950","202512","19","104,000","103","1","개인","개인","1996","무학봉길 49","-","중개거래","서울 성동구","26.03.25"
"70","서울특별시 성동구 송정동","67-5","0067","0005","히페리온리버팰리스","83.4530","202512","19","94,500","-","3","개인","개인","2022","송정길 32","-","중개거래","서울 강남구","26.02.04"
"71","서울특별시 성동구 도선동","69","0069","0000","삼성쉐르빌","84.7400","202512","19","108,700","102","16","개인","개인","2006","무학로6길 50","-","중개거래","서울 성동구","26.03.09"
"72","서울특별시 성동구 응봉동","15","0015","0000","대림강변타운","84.4200","202512","19","190,000","113","13","개인","개인","2001","고산자로 160","-","중개거래","서울 성동구","26.03.05"
"73","서울특별시 성동구 금호동2가","1215","1215","0000","금호자이1차","59.9800","202512","18","175,000","103","6","개인","개인","2012","금호로 117","-","중개거래","서울 성동구, 서울 송파구","26.03.20"
"74","서울특별시 성동구 행당동","347","0347","0000","대림e-편한세상","84.8700","202512","17","126,005","113","13","개인","개인","2000","행당로 79","-","직거래","-","26.03.20"
"75","서울특별시 성동구 하왕십리동","258","0258","0000","벽산","114.4600","202512","17","154,000","101","13","개인","개인","1996","무학로 50","-","중개거래","서울 성동구","26.03.25"
"76","서울특별시 성동구 마장동","820","0820","0000","왕십리금호어울림","84.9700","202512","17","108,000","101","16","개인","개인","2006","마조로 57","-","직거래","-","26.01.30"
"77","서울특별시 성동구 하왕십리동","1070","1070","0000","센트라스","59.9500","202512","16","196,500","127","3","개인","개인","2016","왕십리로 410","-","중개거래","서울 성동구","26.03.23"
"78","서울특별시 성동구 행당동","347","0347","0000","대림e-편한세상","59.9600","202512","15","134,500","107","1","개인","개인","2000","행당로 79","-","중개거래","서울 성동구","26.02.05"
"79","서울특별시 성동구 송정동","104","0104","0000","서울숲아이파크","84.8800","202512","15","126,000","104","10","개인","개인","2009","동일로 237","-","중개거래","서울 성동구","26.02.23"
"80","서울특별시 성동구 하왕십리동","1070","1070","0000","센트라스","40.9400","202512","15","122,000","130","27","개인","개인","2016","왕십리로 410","-","중개거래","서울 성동구","26.03.04"
"81","서울특별시 성동구 마장동","835","0835","0000","우성에비뉴","70.8800","202512","15","81,000","102","6","개인","개인","2017","고산자로26길 11","-","중개거래","서울 동대문구, 서울 성동구","26.03.30"
"82","서울특별시 성동구 응봉동","15","0015","0000","대림강변타운","59.7600","202512","13","165,000","-","12","개인","개인","2001","고산자로 160","20260126","중개거래","서울 성동구","-"
